code,Variable,Frequency,Units,Source,cumulative,sa,transformation,url,download_group,Block1-Global,Block2-TradeGoodsVal,Block3-TradeGoodsVol,Block4-Freight,Block5-TradeServices,Block6-EconomicAct,Block7-Soft,Block8-Developed,Block9-Developing,x_world,x_world_block_1,x_vol_world2,x_vol_world2_block_1,x_servs_world,x_servs_world_block_1,x_world_p,x_vol_world2_p,x_servs_world_p
x_ca,"Merchandise exports, Canada",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_be,"Merchandise exports, Belgium",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_ru,"Merchandise exports, Russian Federation",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
x_in,"Merchandise exports, India",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
x_br,"Merchandise exports, Brazil",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,6,6,0,0,0,0,1,1,2
x_za,"Merchandise exports, South Africa",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
x_oecd,"Merchandise exports, OECD",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_briics,"Merchandise exports, BRIICS",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
ipi_us,"Industrial production index, United States",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
ipi_jp,"Industrial production index, Japan",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,10,10,1,1,2
ipi_de,"Industrial production index, Germany",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,1,2
ipi_kr,"Industrial production index, South Korea",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
ipi_it,"Industrial production index, Italy",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
ipi_fr,"Industrial production index, France",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
ipi_uk,"Industrial production index, United Kingdom",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
ipi_mx,"Industrial production index, Mexico",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,0,1,0,0,7,7,0,0,1,1,2
ipi_ru,"Industrial production index, Russian Federation",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,0,1,4,4,0,0,0,0,1,1,2
ipi_ca,"Industrial production index, Canada",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
ipi_es,"Industrial production index, Spain",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
ipi_oecd,"Industrial production index, OECD",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+MEX+GBR+USA+RUS+CAN+ESP+OECD.PRMNTO01.IXOBSA.M/all?startTime=,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_val_us,"Retail trade index, values, United States",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,11,11,0,0,1,1,2
rti_val_jp,"Retail trade index, values, Japan",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_val_de,"Retail trade index, values, Germany",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_val_uk,"Retail trade index, values, United Kingdom",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_val_fr,"Retail trade index, values, France",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,9,9,1,1,2
rti_val_it,"Retail trade index, values, Italy",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_val_es,"Retail trade index, values, Spain",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,18,18,1,1,2
rti_val_ca,"Retail trade index, values, Canada",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+ESP.SLRTTO02.IXOBSA.M/all?startTime=,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_us,"Retail trade index, volumes, United States",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,15,15,0,0,1,1,2
rti_vol_jp,"Retail trade index, volumes, Japan",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_de,"Retail trade index, volumes, Germany",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_uk,"Retail trade index, volumes, United Kingdom",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_fr,"Retail trade index, volumes, France",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,8,8,0,0,0,0,1,1,2
rti_vol_it,"Retail trade index, volumes, Italy",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_mx,"Retail trade index, volumes, Mexico",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
rti_vol_br,"Retail trade index, volumes, Brazil",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
rti_vol_es,"Retail trade index, volumes, Spain",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_ca,"Retail trade index, volumes, Canada",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
rti_vol_kr,"Retail trade index, volumes, South Korea",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
rti_vol_oecd,"Retail trade index, volumes, OECD",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/CAN+FRA+DEU+ITA+JPN+GBR+USA+OECD+BRA+MEX+ESP+KOR.SLRTTO01.IXOBSA.M/all?startTime=,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
constr_us,"Construction index, United States",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
constr_jp,"Construction index, Japan",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
constr_de,"Construction index, Germany",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
constr_uk,"Construction index, United Kingdom",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
constr_fr,"Construction index, France",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
constr_ca,"Construction index, Canada",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,9,9,0,0,0,0,1,1,2
constr_oecd,"Construction index, OECD",Monthly,index 2015 = 100,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/USA+JPN+DEU+GBR+FRA+CAN+OECD.PRCNTO01.IXOBSA.M/all?startTime=,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
x_servs_oecd,"Exports of services, OECD",Quarterly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI_BOP6/B6CRSE01.OECD.CXCUSA.Q/all?startTime=,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
fdi_world,"FDI financial flows, inwards, world",Quarterly,"index, normal = 100",OECD,n,n,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/FDI_AGGR_SUMM/OECD+WLD.USD.DI.T_FA_F/all?startTime=,7,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2
fdi_oecd,"FDI financial flows, inwards, OECD",Quarterly,"index, normal = 100",OECD,n,n,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/FDI_AGGR_SUMM/OECD+WLD.USD.DI.T_FA_F/all?startTime=,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2
cci_us,"Consumer confidence index, United States",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
cci_cn,"Consumer confidence index, China",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2
cci_de,"Consumer confidence index, Germany",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
cci_jp,"Consumer confidence index, Japan",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
cci_uk,"Consumer confidence index, United Kingdom",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
cci_fr,"Consumer confidence index, France",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
cci_br,"Consumer confidence index, Brazil",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,0,1,0,0,0,0,17,17,1,1,2
cci_kr,"Consumer confidence index, South Korea",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN+FRA+BRA+KOR.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2
cci_oecd,"Consumer confidence index, OECD",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+GBR+USA+OECD+CHN.CSCICP03.IXNSA.M/all?startTime=,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
bci_us,"Business confidence index, United States",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+NLD+GBR+USA+OECD+CHN+FRA+BRA+KOR.BSCICP03.IXNSA.M/all?startTime=,9,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
bci_cn,"Business confidence index, China",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+NLD+GBR+USA+OECD+CHN+FRA+BRA+KOR.BSCICP03.IXNSA.M/all?startTime=,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2
bci_de,"Business confidence index, Germany",Monthly,"index, normal = 100",OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/DEU+JPN+NLD+GBR+USA+OECD+CHN+FRA+BRA+KOR.BSCICP03.IXNSA.M/all?startTime=,9,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
